id,name
1,Arabic
2,Bahasa Indonesia
3,Bambara
4,Cantonese
5,Chinese
6,Creole
7,Dutch
8,Farsi
9,Filipino
10,French
11,German
12,Greek
13,Hebrew
14,Hindi
15,Ilocano
16,Italian
17,Japanese
18,Kanada
19,Kiswahili
20,Macedonian
21,Malay
22,Mandarin
23,Philipino
24,Polish
25,Portugese
26,Russian
27,Shona
28,Spanish
29,Swedish
30,Tagalog
31,Tamili
32,Turkish
33,Turkmen
34,Uzbek
35,English
